,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
572,OEQrPxeku4BfHMCSi8UASQ,Chandler Cinemas,2140 N Arizona Ave,Chandler,AZ,85225,33.338475,-111.8441442,4.0,10,0,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema","{'Monday': '14:0-22:30', 'Tuesday': '14:0-22:30', 'Wednesday': '14:0-22:30', 'Thursday': '14:0-22:30', 'Friday': '12:0-1:0', 'Saturday': '12:0-2:0', 'Sunday': '12:0-23:0'}"
575,zRV7bzP_CfTg-_R9U-VsVg,Visulite Theatre,1615 Elizabeth Ave,Charlotte,NC,28204,35.2135934,-80.8259927,4.0,57,1,"{'NoiseLevel': ""u'loud'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForDancing': 'True', 'OutdoorSeating': 'False', 'Alcohol': ""'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'BikeParking': 'True', 'GoodForKids': 'False', 'RestaurantsPriceRange2': '2', 'HasTV': 'False'}","Music Venues, Nightlife, Arts & Entertainment, Cinema",
887,pDA8NJUwGl1IoLDeaVfo0Q,AMC Ridge Park Square Cinema 8,4788 Ridge Rd,Brooklyn,OH,44144,41.4269133,-81.737635,2.5,7,0,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment",
1242,jobP3ywRd3QNZ_GCoPG2DQ,Brenden Theatres,4321 W Flamingo Rd,Las Vegas,NV,89103,36.1142385556,-115.1964309576,3.5,321,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-0:0'}"
1450,A0dDYy7DWik6BzDX6LnOtg,Harkins Theatres Estrella Falls 16,15010 W McDowell Rd,Goodyear,AZ,85395,33.467496,-112.381426,4.0,149,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema","{'Monday': '9:30-23:0', 'Tuesday': '9:30-23:0', 'Wednesday': '9:30-23:0', 'Thursday': '9:30-23:0', 'Friday': '9:30-23:0', 'Saturday': '9:30-23:0', 'Sunday': '9:30-23:0'}"
1535,7sxqtPS736gtgDqs5updkg,Cinémathèque Québécoise,335 Bouleard de Maisonneuve  E,Montréal,QC,H2X 1K1,45.5138306,-73.5626163,4.5,4,1,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-23:0', 'Saturday': '13:0-23:0', 'Sunday': '12:0-23:0'}"
1591,pi1DHl64UzYXkVuSwvsUwg,Tropicana Cinemas,"3330 E Tropicana Ave, Ste Y",Las Vegas,NV,89121,36.101381,-115.102647,3.5,167,1,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema","{'Monday': '11:30-22:30', 'Tuesday': '11:30-22:30', 'Wednesday': '11:30-22:30', 'Thursday': '11:30-22:30', 'Friday': '11:30-22:30', 'Saturday': '11:30-22:30', 'Sunday': '11:30-22:30'}"
1705,A0FLFsqkGK59l2WPhi93mg,The Belmont Drive-In Theater,314 McAdenville Rd,Belmont,NC,28012,35.256886,-81.0581739,4.0,8,0,{'GoodForKids': 'True'},"Arts & Entertainment, Cinema",
1787,xk-wr22nYDo72CMun8EqHg,Cinemagic Squirrel Hill Theatre,5824 Forward Ave,Pittsburgh,PA,15217,40.4295379,-79.9241188,2.0,5,0,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment",
2000,6V7xWC3xpzFX4CMQjmDVsA,La Chapelle,3700 Rue Saint-Dominique,Montréal,QC,H2X 2X7,45.5149703,-73.5736422,4.5,3,1,{'GoodForKids': 'False'},"Performing Arts, Cinema, Arts & Entertainment",
