,user_id,business_id,text,date,compliment_count
67,_RvEDmpbQZulEdAV590QKg,xQLs0A2dzgXgJq6K2U_UUA,Annoying they don't offer baby and me movies throughout the week in a 'hood full of moms!!,2012-01-09 19:46:53,0
116,udpfGxriuoBdWRBdplJl-w,jobP3ywRd3QNZ_GCoPG2DQ,Finally watching transformers 3d imax.,2011-07-13 02:37:57,0
126,93z51tzHUp4ycmC45puYRg,h6Y1-KfN2XBkcrV85CS8yg,Seats were good. Food was ok. Decent drinks. Better than a regular movie.,2014-08-29 15:14:09,0
209,2i4n1dxsxQL2C2eRTJwdmQ,-ipc5f0XiXwH3hbNnro54Q,21 jumpstreet....Channing Tatum,2012-03-24 04:57:49,0
407,t_uV5QZeKuuiTEEMsGPtQg,2fqHO2vFbcwVV27c_Irm8Q,The best movie theater!,2016-12-06 18:53:16,0
412,FiHiGLDPsNv7nzgpUXgKlw,pJQSdbrtQQVstMUUIICSsA,I don't have any problems here,2016-05-01 02:37:42,0
442,MbKhZ5jip0OVZ_4Lx3S0lg,BxKe9Xt_fN6qBzrTofHuEQ,OMG insidious!!!!,2011-04-28 02:19:43,0
576,ciXjBfJrAEteIKpzZg4I9g,n-AQFKbW6MnpamdtA6ECpQ,It's always happy hour at Cinebarre!,2014-06-14 22:39:47,0
896,rdysF0ymVkMX82Bu_8x3nA,fZioXnBVf-KAsCFX-P2whg,Sherlock Holmes 2,2011-12-25 00:26:58,0
901,HFItzRohDHZvcKDrM6ABZg,wYZoSBvIbJWvDl-ruZwJ7Q,#TechMUNCH food bloggers conference,2012-07-22 15:02:09,0
924,bv2Q8Y6WdfUpX3sDHyTq9A,73dPwH6vfycfRjuM9PGnbg,If you're a teenager keep your stub with you at all times or you will be followed and accused of trying to steal or sneak in a theatre. Police and everything!,2015-06-08 02:15:21,0
928,cK-tsr9qzvDzq0UjmvDsuA,9Fuv3NFX90vjLkP-Dk8cog,$6 on Tuesday,2014-06-04 00:59:51,0
934,2LLO9HbhgUULhctJpFSqJg,lqCJiHlxzRpuYt-u_XQUvg,"They regularly screen old movies,  came and saw dazed and confused on 4/20 lol",2016-04-21 01:53:28,0
1027,rsmGwZ6MhctENKxxYwk4sg,jobP3ywRd3QNZ_GCoPG2DQ,Taking my baby to see Lorax,2012-03-13 21:36:50,0
1101,WPe2n-x6xBNy2GIC5LcpdA,cqjqc8pd3SCxTDWiH49Q5Q,You are here,2013-12-03 03:47:07,0
