,user_id,date,text,compliments,business_id
0,_RvEDmpbQZulEdAV590QKg,2012-01-09 19:46:53,Annoying they don't offer baby and me movies throughout the week in a 'hood full of moms!!,0,xQLs0A2dzgXgJq6K2U_UUA
1,udpfGxriuoBdWRBdplJl-w,2011-07-13 02:37:57,Finally watching transformers 3d imax.,0,jobP3ywRd3QNZ_GCoPG2DQ
2,93z51tzHUp4ycmC45puYRg,2014-08-29 15:14:09,Seats were good. Food was ok. Decent drinks. Better than a regular movie.,0,h6Y1-KfN2XBkcrV85CS8yg
3,2i4n1dxsxQL2C2eRTJwdmQ,2012-03-24 04:57:49,21 jumpstreet....Channing Tatum,0,-ipc5f0XiXwH3hbNnro54Q
4,t_uV5QZeKuuiTEEMsGPtQg,2016-12-06 18:53:16,The best movie theater!,0,2fqHO2vFbcwVV27c_Irm8Q
5,FiHiGLDPsNv7nzgpUXgKlw,2016-05-01 02:37:42,I don't have any problems here,0,pJQSdbrtQQVstMUUIICSsA
6,MbKhZ5jip0OVZ_4Lx3S0lg,2011-04-28 02:19:43,OMG insidious!!!!,0,BxKe9Xt_fN6qBzrTofHuEQ
7,ciXjBfJrAEteIKpzZg4I9g,2014-06-14 22:39:47,It's always happy hour at Cinebarre!,0,n-AQFKbW6MnpamdtA6ECpQ
8,rdysF0ymVkMX82Bu_8x3nA,2011-12-25 00:26:58,Sherlock Holmes 2,0,fZioXnBVf-KAsCFX-P2whg
9,HFItzRohDHZvcKDrM6ABZg,2012-07-22 15:02:09,#TechMUNCH food bloggers conference,0,wYZoSBvIbJWvDl-ruZwJ7Q
10,bv2Q8Y6WdfUpX3sDHyTq9A,2015-06-08 02:15:21,If you're a teenager keep your stub with you at all times or you will be followed and accused of trying to steal or sneak in a theatre. Police and everything!,0,73dPwH6vfycfRjuM9PGnbg
11,cK-tsr9qzvDzq0UjmvDsuA,2014-06-04 00:59:51,$6 on Tuesday,0,9Fuv3NFX90vjLkP-Dk8cog
12,2LLO9HbhgUULhctJpFSqJg,2016-04-21 01:53:28,"They regularly screen old movies,  came and saw dazed and confused on 4/20 lol",0,lqCJiHlxzRpuYt-u_XQUvg
13,rsmGwZ6MhctENKxxYwk4sg,2012-03-13 21:36:50,Taking my baby to see Lorax,0,jobP3ywRd3QNZ_GCoPG2DQ
14,WPe2n-x6xBNy2GIC5LcpdA,2013-12-03 03:47:07,You are here,0,cqjqc8pd3SCxTDWiH49Q5Q
15,HG_-DYGnFv3QwnFtB3GVAg,2011-07-25 17:13:08,Watching Winnie The Pooh with Deven & Ethan on a HOT Monday afternoon.,0,GIPY7lBIIY8ITSfu63q-YQ
16,XChCfeJ6Yx2NDJIpIgRhyg,2013-05-28 21:58:17,"living life a 1/4 mile at a time, watching fast and the furious 6 oh yeah!",0,c9o0sBdEvER2nBeZ6HS9pw
17,M9rRM6Eo5YbKLKMG5QiIPA,2012-07-27 06:02:40,Dark Knight Rises IMAX,0,GAOeyq-7gt9QByhdcAK3cQ
18,SvkOt67Q4pOw2oviK_13og,2011-07-13 01:42:23,WTF? I'm being drag here against my will. I feel like I'm in Arizona! lol,0,NdUuGRxEH0waBQbL6R7mmg
19,UYcmGbelzRa0Q6JqzLoguw,2010-11-21 18:58:35,There was a rat in the theatre when I was there one time!,0,K1ekU1q26tNrImHrt3rr2A
20,cZ16H_Fc3s2-2AYrs-LEJg,2011-10-05 08:55:47,Last day of filming,0,p0iEUamJVp_QpaheE-Nz_g
21,xZhxXL2GJqJ_XGOswVG-iA,2012-05-19 02:06:32,Another great date nite,0,Z96TEJDXyUhCerS-9QllXw
22,Cu9MQKVY2BEMCudwK9uSUA,2012-04-02 00:38:27,Simple spot to engage in social awareness and communication,0,sNBaDJM4Khm1BbrBRyrMVQ
23,U80q9lgHcGkjJxY1WJSXXw,2017-03-13 04:28:22,A friend invited me here once. I'm not a big fan of a play but I did appreciate and enjoyed the show. Food was good and have lots of variety.,0,MgnC3c3IByQkOJ0vyBKfUA
24,yzwOcVyWuXQpmDlPXWw0Mw,2015-05-23 22:15:01,Excellent VIP 19+ movie going experience!  Definitely will be better when they actually finish building the facility.,0,dwogRZ8Vdu7Pd4qSN0UwXg
25,qmjoMFMZdLH69_6eGTGDZw,2012-10-27 19:29:37,Smells like feet in here.,0,HgwOtz8ObpFkzfNbtewwWw
