movie,27359
theater,21952
seat,21154
time,13699
place,13651
like,12618
great,11751
ticket,10618
good,10487
just,10356
food,9726
come,9701
theatre,8664
movies,7941
experience,7308
love,7246
popcorn,7142
make,7140
nice,7113
price,7095
really,6909
drink,6650
clean,6524
people,6517
notto,6392
service,5947
say,5836
theaters,5780
room,5539
staff,5366
watch,5288
im,5154
park,5071
screen,4867
order,4860
night,4828
lot,4473
bar,4386
ive,4328
little,4299
pretty,4247
think,4240
comfortable,4183
way,4179
look,4158
line,4081
now,3917
new,3815
kid,3813
sit,3813
film,3723
walk,3644
use,3631
better,3602
best,3586
pay,3516
need,3508
wait,3504
2,3471
enjoy,3467
star,3460
5,3410
try,3376
free,3362
not,3344
area,3336
ask,3293
tell,3288
know,3268
chair,3251
start,3239
big,3238
sound,3235
friendly,3178
right,3113
wa,3093
minutes,3083
check,3011
recline,3004
play,2974
buy,2899
stand,2894
ca,2891
bring,2861
bite,2824
small,2797
day,2752
youre,2745
leave,2726
next,2715
amc,2713
work,2709
old,2660
definitely,2577
stay,2574
location,2558
bad,2550
feel,2535
fro,2502
sure,2457
long,2402
thats,2402
thing,2357
offer,2339
nothave,2323
open,2318
visit,2299
harkins,2292
no,2284
awesome,2281
eat,2266
fun,2265
3,2255
concession,2245
snack,2238
large,2200
hotel,2185
close,2168
end,2165
theres,2076
saw,2070
want,2064
floor,2056
review,2021
vegas,1991
money,1990
notof,1987
comfy,1977
away,1936
crowd,1931
years,1925
run,1906
manager,1893
super,1859
nota,1857
overall,1849
purchase,1849
card,1842
customer,1835
cool,1831
family,1829
beer,1825
deal,1819
early,1817
amaze,1811
huge,1795
1,1787
serve,1778
actually,1768
4,1767
things,1759
inside,1759
theatres,1754
usually,1747
worth,1736
favorite,1723
far,1684
nothing,1680
quality,1673
let,1668
date,1665
venue,1654
10,1653
drive,1638
table,1628
person,1625
plus,1625
town,1619
live,1593
strip,1569
online,1552
home,1548
regular,1523
cinema,1522
reserve,1522
couple,1515
id,1503
probably,1490
able,1482
wouldbe,1481
row,1481
notthe,1470
ill,1456
concessions,1430
light,1428
year,1421
view,1417
recommend,1413
maybe,1413
talk,1401
imax,1394
weekend,1390
machine,1375
notand,1361
expect,1357
kind,1348
outside,1344
issue,1340
selection,1337
pick,1336
friends,1324
hot,1321
reason,1321
guy,1320
decide,1320
differe,1320
cheap,1316
employees,1310
second,1306
mall,1305
phone,1305
space,1299
quite,1296
bathrooms,1291
high,1289
spot,1286
poi,1278
game,1271
menu,1270
hear,1266
dinner,1265
expensive,1263
especially,1261
notbe,1260
extra,1259
change,1257
bowl,1251
house,1247
ok,1247
easy,1242
help,1229
wo,1225
arrive,1221
plenty,1215
hard,1211
soda,1199
sell,1198
cup,1197
choose,1196
water,1196
wine,1183
hand,1175
shop,1169
fact,1163
husband,1159
point,1158
special,1157
center,1155
dece,1155
charge,1153
lobby,1150
turn,1142
options,1136
week,1130
station,1129
thank,1127
hour,1124
mean,1121
20,1119
days,1113
wish,1111
6,1110
miss,1108
yes,1103
busy,1099
cost,1087
noteven,1074
hours,1072
restaurants,1072
south,1071
counter,1068
half,1066
disappoint,1062
3d,1059
build,1058
size,1058
finally,1054
instead,1052
wouldhave,1047
server,1045
notget,1038
set,1032
buffet,1020
pass,1019
catch,1014
late,1011
book,1009
include,1005
regal,1001
happy,1000
15,998
refill,996
locate,995
problem,991
return,986
oh,982
add,981
perfect,981
guess,974
picture,973
rude,972
stop,971
cold,970
entire,964
local,962
dirty,958
notknow,957
spend,957
head,954
happen,947
vip,940
past,935
fry,930
box,925
pizza,924
recliners,922
bathroom,916
chicken,913
rest,910
business,907
friend,906
30,904
exhibit,904
surprise,885
office,885
fan,884
job,884
later,877
break,873
smell,866
helpful,864
fine,857
wrong,852
felt,850
theyre,845
available,834
real,833
notfor,824
door,821
absolutely,817
matinee,817
butter,815
ones,806
notice,803
ago,802
loud,799
worst,798
leather,797
glass,796
security,794
car,794
today,792
extremely,789
course,788
care,779
youll,778
near,777
stick,773
pack,773
mention,771
recently,769
fee,768
save,768
cinemas,768
plan,766
sign,765
candy,765
casino,765
group,761
concert,761
city,759
notwa,757
allow,749
taste,749
smaller,747
children,740
store,738
wife,737
wonderful,735
main,729
pool,729
ipic,728
ice,728
hope,726
hit,723
recliner,723
upgrade,721
music,719
stuff,717
rock,716
reasonable,716
downtown,714
stage,714
update,713
las,705
party,705
uncomfortable,703
school,701
number,697
customers,696
notthat,696
beautiful,694
notas,694
horrible,693
tuesday,692
tuesdays,690
notin,688
type,688
rat,688
treat,687
bag,687
stadium,684
feature,680
saturday,679
buck,679
noton,678
notlike,678
short,675
middle,675
trip,674
button,673
older,671
luxury,670
fresh,670
soon,669
okay,669
choice,668
12,668
8,664
unless,664
level,663
compare,662
nights,662
preview,661
age,661
entrance,660
quick,659
street,658
notgo,657
enter,655
fantastic,653
grab,653
man,653
7,652
bed,650
cheaper,649
speak,649
spacious,648
atmosphere,647
nottoo,646
consider,645
remember,644
dark,642
option,642
valley,641
notreally,640
terrible,639
attend,638
annoy,636
red,635
cineplex,635
fast,634
tip,633
begin,631
alcohol,631
read,628
notbeen,627
lack,626
manageme,624
standard,621
release,620
avoid,619
overprice,619
smoke,618
average,617
notis,615
noone,608
wall,608
lounge,607
excelle,607
provide,606
cheese,605
completely,604
servers,603
employee,596
friday,596
twice,595
receive,593
totally,592
highly,590
hold,590
girl,589
poor,588
relax,587
complain,586
understand,583
seriously,583
act,583
variety,582
advance,580
refund,580
assign,578
prefer,577
flick,576
note,575
lose,575
young,574
ahead,573
summer,572
never,569
notsure,566
suck,566
band,563
square,562
life,560
state,558
quickly,556
pop,554
idea,552
science,552
style,552
literally,551
dog,550
adults,549
appreciate,548
bottle,548
shouldbe,546
adult,546
restaura,542
normal,540
delicious,540
forget,538
arcade,538
hang,537
discount,534
reward,532
actual,529
arm,526
low,525
galaxy,525
burger,524
meet,523
credit,523
slow,522
impress,521
kick,518
typical,517
concept,517
lady,516
dollar,515
weve,513
phoenix,509
write,509
items,507
unfortunately,506
la,505
program,504
excite,504
lol,503
section,502
25,502
pricey,502
forward,502
alley,501
hate,501
dollars,499
garage,499
explain,498
continue,497
groupon,497
believe,495
chance,494
air,493
step,492
sunday,492
case,492
spe,491
patrons,491
feet,491
win,490
afternoon,489
toronto,487
club,487
meal,486
100,486
months,485
notthink,483
restrooms,481
website,479
coffee,479
grill,478
yelp,476
gift,474
fairly,472
son,472
video,472
limit,471
trash,471
notsee,471
world,468
suppose,468
art,466
fix,465
eve,465
cash,464
sorry,464
paper,464
month,464
wear,463
choices,462
nachos,461
events,459
future,458
premium,455
quiet,454
indie,454
sweet,453
mind,452
honestly,451
ridiculous,451
figure,451
slot,450
wow,449
company,448
coke,448
minute,446
face,443
admission,440
share,440
mix,439
general,438
leg,438
comfort,434
independe,434
glad,434
easily,434
convenie,433
double,433
50,433
blanket,433
tonight,431
surround,431
nothere,430
complai,427
modern,426
situation,425
block,424
boyfriend,423
hall,423
roll,422
gamble,422
studio,422
waitress,421
crazy,420
truly,418
et,418
court,417
cafe,417
ruin,417
learn,417
fall,417
touch,416
cause,415
whats,415
bigger,413
casinos,413
total,412
war,411
realize,410
discou,410
popular,410
cover,410
audience,408
amou,408
basically,407
worse,407
deliver,406
list,404
wide,404
daughter,403
sticky,401
